
排名,名称,链接,星级,评分,评价人数
13,楚门的世界,https://movie.douban.com/subject/1292064/,4.5,9.3,1211120
14,三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,4.5,9.2,1481588
15,机器人总动员,https://movie.douban.com/subject/2131459/,4.5,9.3,1044492
16,放牛班的春天,https://movie.douban.com/subject/1291549/,4.5,9.3,1027927
17,大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,4.5,9.2,1188035
18,熔炉,https://movie.douban.com/subject/5912992/,4.5,9.3,727137
19,疯狂动物城,https://movie.douban.com/subject/25662329/,4.5,9.2,1432812
20,无间道,https://movie.douban.com/subject/1307914/,4.5,9.2,976543
21,教父,https://movie.douban.com/subject/1291841/,4.5,9.3,726237
22,龙猫,https://movie.douban.com/subject/1291560/,4.5,9.2,991260
23,当幸福来敲门,https://movie.douban.com/subject/1849031/,4.5,9.1,1192480
24,怦然心动,https://movie.douban.com/subject/3319755/,4.5,9.1,1394139
25,触不可及,https://movie.douban.com/subject/6786002/,4.5,9.2,772362
26,控方证人,https://movie.douban.com/subject/1296141/,5,9.6,331463
27,蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,4.5,9.2,808755
28,活着,https://movie.douban.com/subject/1292365/,4.5,9.3,628501
29,末代皇帝,https://movie.douban.com/subject/1293172/,4.5,9.3,601466
30,寻梦环游记,https://movie.douban.com/subject/20495023/,4.5,9.1,1207220
31,乱世佳人,https://movie.douban.com/subject/1300267/,4.5,9.3,533634
32,何以为家,https://movie.douban.com/subject/30170448/,4.5,9.1,762947
33,指环王3：王者无敌,https://movie.douban.com/subject/1291552/,4.5,9.2,588540
34,摔跤吧！爸爸,https://movie.douban.com/subject/26387939/,4.5,9.0,1223181
35,飞屋环游记,https://movie.douban.com/subject/2129039/,4.5,9.0,1036890
36,哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,4.5,9.1,804561
37,少年派的奇幻漂流,https://movie.douban.com/subject/1929463/,4.5,9.1,1097366
38,素媛,https://movie.douban.com/subject/21937452/,4.5,9.3,501794
39,十二怒汉,https://movie.douban.com/subject/1293182/,4.5,9.4,356604
40,哈尔的移动城堡,https://movie.douban.com/subject/1308807/,4.5,9.1,765628
41,鬼子来了,https://movie.douban.com/subject/1291858/,4.5,9.3,479392
42,天空之城,https://movie.douban.com/subject/1291583/,4.5,9.1,653574
43,大话西游之月光宝盒,https://movie.douban.com/subject/1299398/,4.5,9.0,946437
44,我不是药神,https://movie.douban.com/subject/26752088/,4.5,9.0,1627616
45,闻香识女人,https://movie.douban.com/subject/1298624/,4.5,9.1,662126
46,罗马假日,https://movie.douban.com/subject/1293839/,4.5,9.0,755630
47,天堂电影院,https://movie.douban.com/subject/1291828/,4.5,9.2,503237
48,辩护人,https://movie.douban.com/subject/21937445/,4.5,9.2,473781
49,搏击俱乐部,https://movie.douban.com/subject/1292000/,4.5,9.0,672521
50,猫鼠游戏,https://movie.douban.com/subject/1305487/,4.5,9.0,661382
51,大闹天宫,https://movie.douban.com/subject/1418019/,4.5,9.4,312883
52,教父2,https://movie.douban.com/subject/1299131/,4.5,9.2,405709
53,狮子王,https://movie.douban.com/subject/1301753/,4.5,9.0,634738
54,指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/,4.5,9.1,536613
55,死亡诗社,https://movie.douban.com/subject/1291548/,4.5,9.1,537827
56,钢琴家,https://movie.douban.com/subject/1296736/,4.5,9.2,416865
57,黑客帝国,https://movie.douban.com/subject/1291843/,4.5,9.0,614141
58,指环王1：魔戒再现,https://movie.douban.com/subject/1291571/,4.5,9.0,602657
59,窃听风暴,https://movie.douban.com/subject/1900841/,4.5,9.1,438701
60,饮食男女,https://movie.douban.com/subject/1291818/,4.5,9.1,448907
61,美丽心灵,https://movie.douban.com/subject/1306029/,4.5,9.0,586729
62,两杆大烟枪,https://movie.douban.com/subject/1293350/,4.5,9.1,472106
63,让子弹飞,https://movie.douban.com/subject/3742360/,4.5,8.8,1251097
64,绿皮书,https://movie.douban.com/subject/27060077/,4.5,8.9,1195886
65,本杰明·巴顿奇事,https://movie.douban.com/subject/1485260/,4.5,8.9,762051
66,飞越疯人院,https://movie.douban.com/subject/1292224/,4.5,9.1,455912
67,海蒂和爷爷,https://movie.douban.com/subject/25958717/,4.5,9.2,330759
68,看不见的客人,https://movie.douban.com/subject/26580232/,4.5,8.8,923361
69,西西里的美丽传说,https://movie.douban.com/subject/1292402/,4.5,8.9,756557
70,拯救大兵瑞恩,https://movie.douban.com/subject/1292849/,4.5,9.0,500506
71,小鞋子,https://movie.douban.com/subject/1303021/,4.5,9.2,313024
72,穿条纹睡衣的男孩,https://movie.douban.com/subject/3008247/,4.5,9.1,390361
73,情书,https://movie.douban.com/subject/1292220/,4.5,8.9,699325
74,音乐之声,https://movie.douban.com/subject/1294408/,4.5,9.0,461965
75,海豚湾,https://movie.douban.com/subject/3442220/,4.5,9.3,299464
76,美国往事,https://movie.douban.com/subject/1292262/,4.5,9.2,323802
77,致命魔术,https://movie.douban.com/subject/1780330/,4.5,8.9,666864
78,沉默的羔羊,https://movie.douban.com/subject/1293544/,4.5,8.9,656931
79,低俗小说,https://movie.douban.com/subject/1291832/,4.5,8.9,643713
80,禁闭岛,https://movie.douban.com/subject/2334904/,4.5,8.8,729937
81,蝴蝶效应,https://movie.douban.com/subject/1292343/,4.5,8.8,722201
82,七宗罪,https://movie.douban.com/subject/1292223/,4.5,8.8,753910
83,心灵捕手,https://movie.douban.com/subject/1292656/,4.5,8.9,542685
84,布达佩斯大饭店,https://movie.douban.com/subject/11525673/,4.5,8.9,685738
